Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Vehicle search,2020-11-06T00:16:51.636666+00:00,FALSE,,54.890725,-2.960555,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,
Person and Vehicle search,2020-11-06T00:46:58.376666+00:00,FALSE,,54.893441,-2.918413,,,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Person and Vehicle search,2020-11-06T01:13:17.916666+00:00,FALSE,,54.905928,-2.943683,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,FALSE
Vehicle search,2020-11-06T01:15:17.373333+00:00,FALSE,,54.905928,-2.943683,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,FALSE,
Person search,2020-11-06T02:51:35.886666+00:00,FALSE,,54.124046,-3.239674,,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Vehicle search,2020-11-06T03:03:15.783333+00:00,FALSE,,54.913053,-2.951867,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,
Person search,2020-11-06T06:25:24.446666+00:00,FALSE,,54.882981,-2.908744,,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,A no further action disposal,FALSE,FALSE
Person search,2020-11-06T10:29:39.806666+00:00,FALSE,,54.638093,-3.548626,,,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,TRUE,FALSE
Person and Vehicle search,2020-11-06T13:14:34.956666+00:00,FALSE,,54.369219,-2.912014,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,FALSE,FALSE
Person and Vehicle search,2020-11-06T18:35:48.906666+00:00,FALSE,,54.797876,-2.872131,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,TRUE,FALSE
Person search,2020-11-06T19:29:30.260000+00:00,FALSE,,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,TRUE,FALSE
